id	text
# 架空の RPG「リィンフォルト戦記」のメッセージ原文。
# これは「開発元が持っているマスターテキスト」に相当します。
# make_sample.py がこれをコンパイルして work/*.BIN を作ります。
#
# タグ:  <BR> 改行 / <WAIT> ボタン待ち / <CLEAR> ウィンドウクリア
#        <NAME:xx> 話者名 (data/names.tsv) / <COLOR:xx> 文字色 / <VAR:xx> 変数
# 約物は全角のみを使います (半角の ! ? 0-9 はフォントに入れていません)。
# 1 行 18 文字・1 ページ 3 行以内に収めてあります (data/rules.json の仕様)。
0	<NAME:00>ようこそ、旅の方。<BR>ここはリィンフォルト王国の城下町だ。<WAIT>
1	<NAME:00>東の街道は近ごろ魔物が増えている。<BR>用があるなら、日の高いうちに<BR>出発することだな。<WAIT>
2	<NAME:01><VAR:00>！　こんなところにいたのね。<BR>ずいぶん探したのよ。<WAIT>
3	<NAME:01>ギルドの掲示板に新しい依頼が<BR>出ていたわ。報酬は<COLOR:02>３００ギル<COLOR:00>。<BR>受けてみない？<WAIT>
4	はい
5	いいえ
6	<NAME:01>そう来なくちゃ。<BR>それじゃあ、さっそく支度を<BR>しましょう。<WAIT>
7	<NAME:01>……そっか。<BR>気が変わったら、いつでも<BR>声をかけてね。<WAIT>
8	<NAME:02>ほう、その若さで前線に立つか。<BR>度胸だけは合格点をやろう。<WAIT>
9	<NAME:02>いいか、剣は振るう前に足を決めろ。<BR>足が浮いた一撃は、当たっても効かん。<WAIT>
10	<NAME:02>わしの若いころはな、地図もない<BR>森を三日も歩いたものだ。<BR>……いや、その話は今度にしておこう。<WAIT>
11	<NAME:03>いらっしゃい！<BR>薬草は一つ２０ギル、<BR>火の魔石は１２０ギルだよ。<WAIT>
12	<NAME:03>まとめて買ってくれるなら、<BR>１０％ほど引いてあげる。<BR>どうする？<WAIT>
13	<NAME:03>ありがとう、また来てね♪<WAIT>
14	<NAME:03>お金が足りないみたいだね。<BR>また今度にしようか。<WAIT>
15	<COLOR:01>宿屋<COLOR:00>に泊まりますか？<BR>一泊１０ギルです。<WAIT>
16	<VAR:00>たちは体力を回復した！<WAIT>
17	<NAME:04>そこまでだ、<VAR:00>。<BR>この扉から先は、王の許しが<BR>なければ通せぬ。<WAIT>
18	<NAME:04>……通行証か。<BR>たしかに王印がある。<BR>失礼した、通られよ。<WAIT>
19	<NAME:05>ふふ、ようやく来たか。<BR>お前が来るのを、この百年待っていた。<CLEAR>この塔は器を求めている。<BR>お前の器を、な。<WAIT>
20	<NAME:05>逃げるか？<BR>逃げてもよい。<BR>だが、扉はもう開かぬ。<WAIT>
21	<COLOR:03>影の司祭<COLOR:00>が立ちはだかった！<WAIT>
22	<VAR:00>は<COLOR:02>２４<COLOR:00>のダメージを受けた！<WAIT>
23	<VAR:00>の攻撃！<BR>影の司祭に<COLOR:02>１３６<COLOR:00>のダメージ！<WAIT>
24	影の司祭を倒した！<BR>経験値<COLOR:02>８５０<COLOR:00>を手に入れた。<WAIT>
25	<NAME:01>やったね、<VAR:00>！<BR>……でも、あの人は最後に<BR>何を言おうとしたのかな。<WAIT>
26	<NAME:02>塔の主が消えても、影は残る。<BR>次は西の湖へ向かうことになるだろう。<WAIT>
27	宝箱を開けた。<BR><COLOR:02>銀の腕輪<COLOR:00>を手に入れた！<WAIT>
28	宝箱は空っぽだった……。<WAIT>
29	鍵がかかっている。<BR>どこかに鍵があるはずだ。<WAIT>
30	扉は固く閉ざされている。<WAIT>
31	セーブしますか？<WAIT>
32	記録しました。<BR>気をつけて行ってらっしゃい。<WAIT>
33	<NAME:01>ここから先は一本道よ。<BR>準備はいい？<WAIT>
34	<NAME:01>体力が半分を切ったら、<BR>迷わず薬草を使って。<BR>倒れてからでは遅いんだから。<WAIT>
35	東の街道→森の祠→影の塔。<BR>順番を間違えると門が開かないみたい。<WAIT>
36	<NAME:00>また来てくれよ。<BR>この町はいつでも開いている。<WAIT>
37	はい
38	いいえ
