id	offset	size	original	translation
0	0xAC	59	<NAME:00>ようこそ、旅の方。<BR>ここはリィンフォルト王国の城下町だ。<WAIT>	<NAME:00>ようこそ、旅の方。<BR>ここはリンフォルト王国の城下街だ。<WAIT>
1	0xE7	86	<NAME:00>東の街道は近ごろ魔物が増えている。<BR>用があるなら、日の高いうちに<BR>出発することだな。<WAIT>	<NAME:00>東の街道は近ごろ魔物が増えている。<BR>用があるなら、日の高いうちに<BR>出発することだな。<WAIT>
2	0x13D	55	<NAME:01><VAR:00>！　こんなところにいたのね。<BR>ずいぶん探したのよ。<WAIT>	<NAME:01>あなた！　こんなところにいたのね。<BR>ずいぶん探したのよ。<WAIT>
3	0x174	82	<NAME:01>ギルドの掲示板に新しい依頼が<BR>出ていたわ。報酬は<COLOR:02>３００ギル<COLOR:00>。<BR>受けてみない？<WAIT>	<NAME:01>ギルドの掲示板に新しい依頼が<BR>出ていたわ。報酬は<COLOR:02>300ゴールド<COLOR:00>。<BR>受けてみない？<WAIT>
4	0x1C6	5	はい	はい
5	0x1CB	7	いいえ	いいえ
6	0x1D2	60	<NAME:01>そう来なくちゃ。<BR>それじゃあ、さっそく支度を<BR>しましょう。<WAIT>	<NAME:01>そう来なくちゃ。<BR>それじゃあ、さっそく支度を<BR>しましょう。<WAIT>
7	0x20E	56	<NAME:01>……そっか。<BR>気が変わったら、いつでも<BR>声をかけてね。<WAIT>	<NAME:01>...そっか。<BR>気が変わったら、いつでも<BR>声をかけてね。<WAIT>
8	0x246	61	<NAME:02>ほう、その若さで前線に立つか。<BR>度胸だけは合格点をやろう。<WAIT>	<NAME:02>ほう、その若さで前線に立つか<BR>。度胸だけは合格点をやろう。<WAIT>
9	0x283	75	<NAME:02>いいか、剣は振るう前に足を決めろ。<BR>足が浮いた一撃は、当たっても効かん。<WAIT>	<NAME:02>いいか、剣は振るう前に足を決めろ。足が浮いた一撃は、当たっても効かん。<WAIT>
10	0x2CE	96	<NAME:02>わしの若いころはな、地図もない<BR>森を三日も歩いたものだ。<BR>……いや、その話は今度にしておこう。<WAIT>	<NAME:02>わしの若いころはな、地図もない<BR>森を三日も歩いたものだ。<BR>……いや、その話は今度にしておこう。<WAIT>
11	0x32E	66	<NAME:03>いらっしゃい！<BR>薬草は一つ２０ギル、<BR>火の魔石は１２０ギルだよ。<WAIT>	<NAME:03>いらっしゃい！<BR>やくそうは一つ２０ギル、<BR>火の魔晶石は１２０ギルだよ。<WAIT>
12	0x370	66	<NAME:03>まとめて買ってくれるなら、<BR>１０％ほど引いてあげる。<BR>どうする？<WAIT>	<NAME:03>まとめて買ってくれるなら、<BR>１０％ほど<BR>引いてあげる。<BR>どうする？<WAIT>
13	0x3B2	28	<NAME:03>ありがとう、また来てね♪<WAIT>	<NAME:03>ありがとう、また来てね〜♪<WAIT>
14	0x3CE	51	<NAME:03>お金が足りないみたいだね。<BR>また今度にしようか。<WAIT>	<NAME:03>お金が足りないみたいだね。<BR>また今度にしようか。<WAIT>
15	0x401	45	<COLOR:01>宿屋<COLOR:00>に泊まりますか？<BR>一泊１０ギルです。<WAIT>	<COLOR:01>宿屋<COLOR:00>に泊まりますか？<BR>一泊１０ギルです。<WAIT>
16	0x42E	26	<VAR:00>たちは体力を回復した！<WAIT>	<VAR:00>ﾀﾁは体力を回復した！<WAIT>
17	0x448	64	<NAME:04>そこまでだ、<VAR:00>。<BR>この扉から先は、王の許しが<BR>なければ通せぬ。<WAIT>	<NAME:04>そこまでだ、<VAR:00>。<BR>この扉から先は、王の許しが<BR>なければ通せぬ。<WAIT>
18	0x488	60	<NAME:04>……通行証か。<BR>たしかに王印がある。<BR>失礼した、通られよ。<WAIT>	<NAME:04>……通行証か。<BR>たしかに王印がある。　<BR>失礼した、通られよ。<WAIT>
19	0x4C4	105	<NAME:05>ふふ、ようやく来たか。<BR>お前が来るのを、この百年待っていた。<CLEAR>この塔は器を求めている。<BR>お前の器を、な。<WAIT>	<NAME:05>ふふ、ようやく来たか。<BR>お前が来るのを、この百年待っていた。<CLEAR>この塔は器を求めている。<BR>お前の器を、な。<WAIT>
20	0x52D	52	<NAME:05>逃げるか？<BR>逃げてもよい。<BR>だが、扉はもう開かぬ。<WAIT>	<NAME:05>逃げるか？<BR>逃げてもよい。<BR>だが、扉はもう開かぬ。
21	0x561	32	<COLOR:03>影の司祭<COLOR:00>が立ちはだかった！<WAIT>	<COLOR:03>影の司祭<COLOR:00>が立ちはだかった！<WAIT>
22	0x581	34	<VAR:00>は<COLOR:02>２４<COLOR:00>のダメージを受けた！<WAIT>	<VAR:00>は<COLOR:02>２４<COLOR:00>のダメージを受けた！<WAIT>
23	0x5A3	45	<VAR:00>の攻撃！<BR>影の司祭に<COLOR:02>１３６<COLOR:00>のダメージ！<WAIT>	<VAR:00>の攻撃！<BR>影の司祭に<COLOR:02>１３６<COLOR:00>のダメージ！<WAIT>
24	0x5D0	51	影の司祭を倒した！<BR>経験値<COLOR:02>８５０<COLOR:00>を手に入れた。<WAIT>	影の司祭を倒した！<BR>経験値<COLOR:02>８５０<COLOR:00>を手に入れた。<WAIT>
25	0x603	68	<NAME:01>やったね、<VAR:00>！<BR>……でも、あの人は最後に<BR>何を言おうとしたのかな。<WAIT>	<NAME:00>やったね、<VAR:00>！<BR>……でも、あの人は最後に<BR>何を言おうとしたのかな。<WAIT>
26	0x647	69	<NAME:02>塔の主が消えても、影は残る。<BR>次は西の湖へ向かうことになるだろう。<WAIT>	<NAME:02>塔の主が消えても、影は残る。<BR>次は西の湖へ向かうことになるだろう。<WAIT>
27	0x68C	43	宝箱を開けた。<BR><COLOR:02>銀の腕輪<COLOR:00>を手に入れた！<WAIT>	宝箱を開けた。<BR><COLOR:02>銀の腕輪<COLOR:00>を手に入れた！<WAIT>
28	0x6B7	26	宝箱は空っぽだった……。<WAIT>	宝箱は空っぽだった…………。<WAIT>
29	0x6D1	45	鍵がかかっている。<BR>どこかに鍵があるはずだ。<WAIT>	鍵がかかっている。<BR>どこかに鍵があるはずだ。<WAIT>
30	0x6FE	26	扉は固く閉ざされている。<WAIT>	扉には薔薇の紋章が刻まれている。<WAIT>
31	0x718	18	セーブしますか？<WAIT>	<WAIT>
32	0x72A	45	記録しました。<BR>気をつけて行ってらっしゃい。<WAIT>	記録しました。<BR>気をつけて行ってらっしゃい。<WAIT>
33	0x757	39	<NAME:01>ここから先は一本道よ。<BR>準備はいい？<WAIT>	<NAME:01>ここから先は一本道よ。<BR>準備はいい?<WAIT>
34	0x77E	76	<NAME:01>体力が半分を切ったら、<BR>迷わず薬草を使って。<BR>倒れてからでは遅いんだから。<WAIT>	<NAME:01>体力が半分を切ったら、<BR>迷わずクスリ草を使って。<BR>倒れてからでは遅いんだから。<WAIT>
35	0x7CA	65	東の街道→森の祠→影の塔。<BR>順番を間違えると門が開かないみたい。<WAIT>	東の街道→森の祠→影の塔。<BR>順番を間違えると門が開かないみたい。<WAIT>
36	0x80B	49	<NAME:00>また来てくれよ。<BR>この町はいつでも開いている。<WAIT>	<NAME:00>また来てくれよ。<BR>この町はいつでも開いている。<WAIT>
37	0x83C	5	はい	はい
38	0x841	7	いいえ	いいえ
